warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-D,Router,Supplier-Y,15.0,110,2025-08-06,3297.12
WH-A,Mobile,Supplier-V,753.0,314,2026-02-21,2700.55
WH-B,Router,Supplier-Y,246.0,40,2025-11-08,4756.97
WH-B,Monitor,Supplier-W,577.0,4,2025-05-07,1542.21
WH-C,Mobile,Supplier-V,467.0,472,2025-11-11,2216.72
WH-C,Mobile,Supplier-Y,355.0,484,2025-01-31,4912.61
WH-C,Monitor,Supplier-W,325.0,313,2025-12-09,1770.35
WH-E,Tablet,Supplier-V,402.0,295,2025-09-27,2762.47
WH-B,Monitor,Supplier-X,656.0,490,2026-01-08,2295.83
WH-A,Mobile,Supplier-Y,918.0,223,2026-01-21,1508.9
WH-D,Laptop,Supplier-V,812.0,77,2025-04-17,3101.18
WH-B,Printer,Supplier-X,827.0,165,2024-08-04,4698.71
WH-E,Monitor,Supplier-Y,659.0,34,2025-06-06,4777.43
WH-C,Monitor,Supplier-X,921.0,392,2026-01-23,1710.64
WH-D,Keyboard,Supplier-Z,849.0,311,2024-09-12,2177.5
WH-E,Router,Supplier-V,829.0,442,2026-06-06,4380.3
WH-D,Keyboard,Supplier-Y,723.0,212,2025-11-09,2040.13
WH-C,Keyboard,Supplier-Z,401.0,66,2024-12-08,3190.9
WH-B,Keyboard,Supplier-W,581.0,464,2026-05-25,1496.04
WH-E,Monitor,Supplier-Z,471.0,469,2025-07-31,3155.35
WH-A,Monitor,Supplier-Z,160.0,302,2024-10-16,3613.6
WH-C,Tablet,Supplier-V,44.0,368,2026-04-06,733.1
WH-D,Laptop,Supplier-V,48.0,298,2025-04-11,4093.34
WH-D,Keyboard,Supplier-W,659.0,181,2025-03-02,2857.26
WH-D,Mobile,Supplier-Z,262.0,178,2026-05-30,2304.75
WH-A,Tablet,Supplier-W,478.0,118,2025-04-26,1436.23
WH-A,Mobile,Supplier-V,328.0,12,2025-11-23,4914.78
WH-C,Keyboard,Supplier-X,545.0,190,2026-04-01,1973.21
WH-A,Printer,,,102,2025-05-16,
WH-D,Keyboard,Supplier-Z,697.0,224,2024-10-10,2382.65
WH-B,Mobile,Supplier-W,271.0,478,2024-08-05,3030.85
WH-E,Mobile,Supplier-W,240.0,221,2025-06-11,3329.51
WH-A,Mouse,Supplier-Y,452.0,488,2025-04-30,2737.24
WH-D,Laptop,Supplier-W,776.0,432,2025-07-11,4514.38
WH-E,Printer,Supplier-Y,764.0,449,2024-07-20,2410.57
WH-A,Printer,Supplier-X,94.0,2,2024-08-05,2245.07
WH-A,Monitor,Supplier-W,42.0,475,2025-10-26,4603.45
WH-D,Router,Supplier-V,596.0,372,2025-06-23,5111.76
WH-B,Printer,Supplier-W,182.0,74,2024-08-09,4271.15
WH-A,Mobile,Supplier-Z,549.0,10,2024-08-26,3176.57
WH-A,Monitor,Supplier-Y,55.0,395,2025-09-22,1708.44
WH-C,Laptop,Supplier-V,511.0,405,2025-07-07,2254.98
WH-A,Mouse,Supplier-V,100.0,485,2025-10-04,1026.46
WH-C,Laptop,Supplier-Y,465.0,434,2024-10-14,1753.22
WH-B,Printer,Supplier-W,241.0,274,2025-11-17,1742.0
WH-E,Monitor,Supplier-W,244.0,365,2025-01-14,3494.57
WH-D,Mobile,Supplier-X,527.0,95,2024-09-02,4515.09
WH-D,Router,Supplier-Y,713.0,370,2025-04-16,3219.75
WH-C,Mouse,Supplier-V,127.0,318,2026-01-07,1358.65
WH-B,Monitor,Supplier-X,567.0,458,2026-06-26,5171.12
WH-D,Laptop,Supplier-V,78.0,251,2024-11-05,2220.78
WH-E,Laptop,Supplier-Y,569.0,229,2025-12-12,3669.67
WH-C,Mouse,Supplier-W,899.0,388,2026-01-24,2677.92
WH-A,Printer,,,388,2025-05-02,
WH-C,Monitor,Supplier-V,774.0,298,2024-09-13,5098.05
WH-A,Mouse,Supplier-Y,316.0,458,2026-06-04,3230.13
WH-B,Keyboard,Supplier-Z,750.0,337,2024-09-10,2138.23
WH-A,Router,Supplier-W,479.0,332,2025-11-03,1577.39
WH-A,Keyboard,Supplier-Y,798.0,356,2026-06-30,5299.87
WH-C,Laptop,Supplier-V,528.0,493,2024-10-24,2340.95
WH-A,Mobile,Supplier-V,639.0,450,2026-05-18,3197.0
WH-B,Keyboard,Supplier-Z,895.0,14,2026-01-04,2112.47
WH-B,Router,Supplier-W,914.0,337,2025-06-29,2614.95
WH-C,Mouse,Supplier-Y,497.0,461,2024-10-11,2421.09
WH-D,Tablet,Supplier-Z,105.0,459,2026-05-20,4284.02
WH-E,Monitor,Supplier-Z,449.0,60,2025-09-05,2243.91
WH-D,Mobile,Supplier-W,89.0,75,2024-10-21,2147.61
WH-A,Monitor,Supplier-Z,24.0,149,2025-01-23,822.89
WH-C,Monitor,Supplier-V,378.0,40,2025-11-29,1682.5
WH-C,Mouse,Supplier-V,364.0,176,2026-06-09,2123.85
WH-D,Mobile,Supplier-W,482.0,394,2026-05-03,4205.84
WH-E,Mouse,Supplier-X,473.0,370,2026-04-16,2773.45
WH-D,Keyboard,Supplier-Y,433.0,92,2024-09-28,2669.65
WH-B,Monitor,Supplier-Z,184.0,293,2025-03-18,3068.52
WH-A,Mobile,Supplier-X,183.0,266,2024-12-14,3272.93
WH-B,Laptop,Supplier-W,505.0,307,2025-06-01,4401.75
WH-E,Tablet,Supplier-Y,561.0,77,2026-05-28,1249.51
WH-E,Router,Supplier-Z,980.0,388,2024-10-18,4703.18
WH-D,Printer,Supplier-X,824.0,158,2025-09-09,3892.09
WH-A,Keyboard,Supplier-V,452.0,123,2024-07-04,3421.29
WH-D,Monitor,Supplier-Y,366.0,398,2025-03-21,2758.83
WH-C,Mouse,Supplier-Z,206.0,318,2024-08-21,4086.01
WH-B,Tablet,Supplier-W,400.0,78,2024-08-09,3338.96
WH-B,Router,Supplier-W,29.0,290,2026-02-13,3766.41
WH-B,Printer,Supplier-Y,172.0,278,2026-03-17,1672.29
WH-D,Mobile,Supplier-Z,176.0,231,2024-08-13,2632.97
WH-D,Laptop,Supplier-V,164.0,57,2025-05-27,4995.32
WH-A,Keyboard,Supplier-Z,898.0,410,2025-10-27,2990.47
WH-B,Router,,,461,2025-12-12,
WH-E,Router,Supplier-Z,708.0,163,2025-03-01,3975.33
WH-D,Mobile,Supplier-W,425.0,214,2024-12-16,1749.68
WH-C,Laptop,Supplier-V,237.0,481,2026-05-15,2699.98
WH-C,Keyboard,Supplier-Z,581.0,136,2025-11-13,4926.72
WH-C,Printer,Supplier-Y,903.0,65,2025-09-15,4196.66
WH-D,Router,Supplier-W,987.0,211,2024-07-31,4388.84
WH-E,Router,Supplier-Y,111.0,45,2024-08-12,2889.88
WH-B,Monitor,Supplier-Y,269.0,155,2025-07-17,3297.13
WH-C,Monitor,Supplier-Z,264.0,196,2025-12-28,893.6
WH-C,Monitor,Supplier-V,49.0,446,2025-08-03,557.01
WH-A,Mouse,Supplier-V,180.0,75,2024-12-04,4326.19
WH-C,Monitor,Supplier-V,773.0,274,2025-05-06,1199.65
WH-B,Keyboard,Supplier-Y,913.0,407,2025-11-19,3986.74
WH-C,Router,Supplier-X,724.0,403,2025-12-31,2176.44
WH-A,Mouse,Supplier-Y,422.0,337,2024-10-20,1782.61
WH-B,Tablet,Supplier-Y,398.0,482,2025-04-01,4483.83
WH-C,Keyboard,Supplier-Z,847.0,287,2026-02-01,3508.86
WH-E,Mobile,Supplier-X,531.0,279,2025-04-21,2223.15
WH-B,Printer,Supplier-Y,917.0,425,2026-03-28,5046.81
WH-E,Tablet,Supplier-X,925.0,359,2025-02-18,3889.41
WH-E,Printer,Supplier-X,643.0,252,2025-04-20,4503.28
WH-B,Keyboard,Supplier-Z,571.0,141,2025-02-18,3733.45
WH-C,Printer,Supplier-W,316.0,252,2025-04-10,5000.12
WH-E,Mobile,Supplier-X,50.0,41,2025-10-24,2699.53
WH-B,Laptop,Supplier-V,604.0,131,2026-02-06,4216.3
WH-D,Router,Supplier-X,775.0,392,2025-07-16,2188.91
WH-C,Keyboard,Supplier-Z,785.0,203,2026-03-23,3729.47
WH-E,Mobile,Supplier-W,526.0,458,2026-06-30,3290.38
WH-A,Keyboard,Supplier-Z,70.0,152,2024-10-03,4194.6
WH-B,Laptop,Supplier-X,499.0,137,2024-08-02,2827.94
WH-D,Monitor,Supplier-V,706.0,355,2026-05-01,3719.31
WH-B,Tablet,Supplier-Z,108.0,339,2024-09-05,1036.49
WH-B,Mobile,Supplier-Y,179.0,107,2025-03-06,3450.37
WH-C,Mobile,Supplier-Y,790.0,382,2025-10-25,3617.3
WH-C,Keyboard,Supplier-Y,100.0,228,2025-05-17,2382.36
WH-C,Mobile,Supplier-Z,597.0,44,2025-01-08,4148.19
WH-C,Mouse,Supplier-X,894.0,5,2025-07-13,1295.01
WH-E,Printer,,,132,2025-06-27,
WH-C,Router,Supplier-Y,653.0,419,2025-10-23,4984.44
WH-B,Mobile,Supplier-X,927.0,174,2026-03-01,2341.81
WH-A,Router,Supplier-V,871.0,375,2025-11-09,1704.25
WH-A,Laptop,Supplier-Y,337.0,381,2024-11-08,4209.1
WH-C,Laptop,Supplier-Z,104.0,83,2024-12-09,2865.87
WH-D,Laptop,Supplier-X,848.0,272,2025-09-07,3967.91
WH-E,Mobile,Supplier-Y,258.0,414,2026-01-01,3692.79
WH-E,Mouse,Supplier-Z,745.0,449,2026-03-06,3599.79
WH-A,Router,Supplier-V,922.0,413,2024-12-08,4979.35
WH-E,Tablet,Supplier-V,120.0,415,2026-03-26,3137.8
WH-C,Laptop,Supplier-Z,889.0,191,2025-07-08,3918.58
WH-A,Tablet,Supplier-V,322.0,437,2024-11-10,3168.41
WH-A,Keyboard,Supplier-V,15.0,98,2024-11-29,614.35
WH-C,Monitor,Supplier-X,5.0,212,2025-11-28,1376.3
WH-B,Router,Supplier-W,375.0,153,2024-10-28,1223.99
WH-D,Printer,Supplier-V,942.0,446,2024-07-13,3300.39
WH-A,Tablet,Supplier-V,766.0,300,2024-10-09,2155.87
WH-E,Monitor,Supplier-Y,919.0,54,2026-01-31,4552.15
WH-C,Router,Supplier-Z,854.0,87,2026-06-14,2810.29
WH-E,Tablet,Supplier-Z,141.0,138,2025-05-27,5037.84
WH-E,Keyboard,Supplier-Y,215.0,393,2026-06-22,2242.0
WH-E,Laptop,Supplier-Z,821.0,81,2025-10-09,4471.11
WH-A,Tablet,Supplier-Z,169.0,28,2025-07-07,4873.36
WH-A,Mobile,Supplier-X,32.0,182,2025-06-17,2385.11
WH-E,Laptop,Supplier-Z,677.0,245,2024-08-16,1036.41
WH-E,Mouse,Supplier-Z,115.0,331,2024-09-18,1255.23
WH-D,Laptop,Supplier-X,282.0,162,2025-03-15,732.88
WH-B,Monitor,Supplier-Y,815.0,87,2026-05-28,1755.8
WH-C,Tablet,Supplier-X,41.0,489,2026-05-10,978.24
WH-D,Keyboard,Supplier-X,515.0,158,2026-05-12,2237.73
WH-E,Mouse,Supplier-V,933.0,470,2025-08-14,2480.26
WH-C,Router,Supplier-Y,792.0,343,2024-11-28,1416.37
WH-B,Laptop,Supplier-V,668.0,134,2025-06-28,3712.46
WH-A,Monitor,Supplier-Z,921.0,156,2024-08-23,3458.88
WH-B,Router,Supplier-X,635.0,436,2025-01-22,5010.0
WH-A,Mobile,,,69,2024-10-14,
WH-B,Mobile,Supplier-Z,778.0,442,2025-09-11,3445.68
WH-C,Mobile,Supplier-Z,491.0,484,2024-11-10,2346.64
WH-D,Keyboard,Supplier-V,140.0,332,2025-08-24,3323.62
WH-B,Mobile,Supplier-X,874.0,379,2025-02-09,2052.31
WH-D,Laptop,Supplier-V,134.0,171,2025-04-02,3621.95
WH-C,Router,Supplier-Y,426.0,318,2025-05-24,4319.95
WH-A,Mouse,Supplier-Z,335.0,311,2024-11-06,2133.98
WH-B,Monitor,Supplier-Z,943.0,98,2024-11-09,4132.03
WH-D,Mobile,Supplier-V,293.0,111,2026-03-27,4630.25
WH-E,Printer,Supplier-Z,696.0,124,2025-06-01,931.72
WH-A,Monitor,Supplier-W,818.0,95,2025-04-18,3283.3
WH-D,Router,Supplier-Z,505.0,176,2024-08-30,1868.24
WH-E,Keyboard,Supplier-V,686.0,132,2025-07-21,1719.46
WH-C,Keyboard,Supplier-Y,927.0,183,2024-09-03,2631.75
WH-E,Monitor,Supplier-Z,358.0,0,2025-12-27,5084.83
WH-A,Laptop,Supplier-W,576.0,386,2025-12-22,2990.54
WH-C,Printer,Supplier-Y,185.0,304,2024-07-11,4796.24
WH-B,Tablet,Supplier-X,372.0,448,2024-10-22,5118.27
WH-A,Tablet,Supplier-Y,575.0,81,2026-07-02,4326.68
WH-E,Tablet,Supplier-Z,552.0,201,2025-12-20,843.6
WH-C,Keyboard,Supplier-W,305.0,87,2025-09-23,3811.74
WH-E,Tablet,Supplier-X,395.0,184,2025-10-27,739.41
WH-A,Printer,Supplier-V,9.0,212,2025-08-21,3954.85
WH-A,Mouse,Supplier-W,929.0,54,2024-09-16,2554.55
WH-E,Monitor,,,379,2025-11-30,
WH-D,Mouse,Supplier-Z,225.0,279,2025-11-04,3571.19
WH-D,Router,Supplier-Z,869.0,331,2025-11-02,2512.19
WH-D,Laptop,Supplier-W,62.0,393,2025-05-28,4144.51
WH-B,Keyboard,Supplier-Z,219.0,15,2024-08-02,4533.5
WH-B,Tablet,Supplier-W,368.0,333,2026-03-14,784.87
WH-A,Monitor,Supplier-Y,852.0,272,2025-02-24,5124.73
WH-C,Mouse,Supplier-V,886.0,193,2026-04-06,4617.43
WH-C,Router,Supplier-V,890.0,250,2026-02-06,3395.32
WH-E,Keyboard,Supplier-Y,598.0,175,2025-04-28,1796.05
WH-D,Keyboard,Supplier-W,488.0,244,2026-05-29,4684.31
WH-D,Tablet,Supplier-Z,241.0,62,2026-03-21,727.93
WH-A,Printer,Supplier-V,606.0,459,2026-06-03,4904.23
WH-D,Mobile,Supplier-W,6.0,104,2025-09-29,3289.5
WH-B,Printer,Supplier-Z,664.0,498,2024-10-29,1957.58
WH-C,Printer,Supplier-X,103.0,83,2025-04-27,984.59
WH-D,Printer,Supplier-V,950.0,315,2024-08-27,4395.91
WH-E,Mobile,Supplier-W,976.0,30,2024-12-27,4297.84
WH-A,Monitor,Supplier-W,345.0,239,2025-04-30,4672.39
WH-D,Mobile,Supplier-V,7.0,492,2025-04-21,761.21
WH-E,Tablet,Supplier-X,396.0,220,2025-05-09,4930.15
WH-B,Tablet,Supplier-Y,694.0,68,2025-04-11,1050.46
WH-E,Router,Supplier-Y,272.0,433,2025-09-02,1353.54
WH-E,Monitor,Supplier-Y,613.0,454,2025-08-10,4412.26
WH-E,Tablet,Supplier-Y,378.0,26,2025-10-04,2303.69
WH-E,Keyboard,Supplier-V,547.0,12,2025-07-30,4701.91
WH-D,Mouse,Supplier-X,744.0,66,2026-04-29,2025.99
WH-D,Printer,Supplier-X,472.0,209,2025-12-03,5035.45
WH-D,Printer,Supplier-Y,511.0,210,2026-01-01,3179.18
WH-C,Monitor,Supplier-Y,871.0,36,2026-04-19,2363.12
WH-B,Router,Supplier-Y,253.0,257,2024-10-23,991.81
WH-B,Keyboard,Supplier-Y,341.0,1,2025-06-25,4113.39
WH-E,Router,Supplier-W,566.0,337,2026-04-10,3522.89
WH-A,Monitor,Supplier-V,824.0,390,2025-06-24,1937.62
WH-D,Laptop,Supplier-X,166.0,185,2025-07-24,2343.82
WH-B,Monitor,Supplier-W,965.0,248,2025-02-20,1252.13
WH-E,Mouse,Supplier-W,615.0,355,2025-06-02,1037.14
WH-E,Printer,Supplier-Z,919.0,385,2024-08-04,2081.59
WH-D,Keyboard,Supplier-W,924.0,498,2026-05-08,5057.09
WH-A,Router,Supplier-V,605.0,430,2026-03-30,1662.13
WH-C,Printer,Supplier-W,291.0,36,2024-09-25,3891.73
WH-B,Monitor,Supplier-X,582.0,67,2025-09-15,1293.17
WH-D,Printer,Supplier-Y,114.0,476,2025-01-27,1269.95
WH-E,Keyboard,Supplier-Y,980.0,486,2025-01-09,5067.55
WH-D,Mobile,Supplier-W,252.0,262,2025-09-05,3438.54
WH-A,Laptop,,,389,2025-04-08,
WH-D,Monitor,Supplier-Y,537.0,391,2025-04-03,4098.87
WH-B,Tablet,Supplier-Y,331.0,359,2025-07-28,4352.34
WH-E,Tablet,Supplier-V,315.0,99,2025-01-13,774.96
WH-E,Router,Supplier-Z,533.0,320,2025-09-19,4476.48
WH-E,Laptop,Supplier-Y,76.0,60,2025-10-23,1199.38
WH-A,Laptop,Supplier-Z,147.0,144,2025-08-28,3044.07
WH-C,Mouse,Supplier-V,204.0,73,2024-08-30,2409.3
WH-D,Tablet,Supplier-Y,163.0,33,2024-10-28,3357.56
WH-C,Router,Supplier-Y,187.0,360,2025-06-27,4089.26
WH-E,Mouse,Supplier-X,56.0,311,2025-01-29,4367.39
WH-D,Mobile,Supplier-W,925.0,145,2026-01-06,1115.67
WH-C,Keyboard,Supplier-Z,694.0,187,2026-03-15,991.16
WH-E,Mobile,Supplier-Y,3.0,358,2025-09-28,1450.54
WH-C,Laptop,Supplier-V,906.0,349,2024-08-12,2172.1
WH-A,Router,Supplier-W,967.0,61,2024-11-25,4800.7
WH-D,Mobile,Supplier-V,488.0,207,2026-06-03,3123.43
WH-D,Mouse,Supplier-X,500.0,476,2025-11-26,3552.67
WH-E,Mobile,Supplier-V,836.0,104,2025-10-05,4988.41
WH-A,Printer,Supplier-X,473.0,85,2025-11-04,4447.3
WH-E,Monitor,Supplier-Y,274.0,23,2025-10-09,3564.74
WH-A,Printer,Supplier-X,254.0,287,2026-04-04,4597.29
WH-B,Keyboard,Supplier-W,419.0,78,2026-03-02,4623.05
WH-E,Laptop,Supplier-X,850.0,306,2025-03-09,2410.78
WH-A,Mobile,Supplier-Y,373.0,98,2025-06-15,1649.27
WH-A,Mobile,Supplier-W,249.0,165,2026-03-28,2595.31
WH-E,Mouse,Supplier-Z,446.0,167,2026-01-26,4907.75
WH-A,Router,Supplier-V,711.0,206,2025-08-17,5098.75
WH-A,Monitor,Supplier-V,267.0,47,2026-03-15,4437.19
WH-A,Mobile,Supplier-W,611.0,395,2026-01-02,4687.68
WH-B,Mouse,Supplier-Z,993.0,203,2025-08-22,4797.83
WH-D,Tablet,Supplier-X,781.0,262,2025-10-01,1537.62
WH-B,Mouse,Supplier-W,667.0,480,2025-03-31,4426.52
WH-A,Keyboard,Supplier-X,308.0,355,2025-07-08,3946.15
WH-A,Laptop,Supplier-W,329.0,176,2025-02-22,1968.67
WH-E,Mouse,Supplier-Y,107.0,231,2025-07-03,3337.73
WH-B,Printer,Supplier-V,265.0,13,2026-04-06,4280.79
WH-C,Keyboard,Supplier-Z,811.0,333,2025-11-13,4769.85
WH-B,Mobile,Supplier-V,456.0,266,2024-11-11,1904.96
WH-E,Printer,,,65,2025-12-09,
WH-E,Keyboard,Supplier-Z,781.0,4,2024-09-06,1604.57
WH-C,Laptop,Supplier-V,926.0,348,2026-01-26,2570.15
WH-E,Router,Supplier-Y,502.0,336,2025-04-18,4283.8
WH-A,Mouse,Supplier-Z,826.0,224,2026-01-10,3775.2
WH-D,Mobile,Supplier-X,786.0,353,2025-02-07,4039.81
WH-A,Laptop,Supplier-X,298.0,125,2026-02-01,4957.56
WH-D,Router,Supplier-V,677.0,252,2025-12-28,3120.4
WH-A,Keyboard,Supplier-Y,10.0,343,2025-12-19,569.01
WH-C,Router,Supplier-V,21.0,263,2025-11-14,4410.45
WH-A,Laptop,Supplier-Z,522.0,403,2025-07-11,3021.04
WH-C,Laptop,Supplier-X,436.0,305,2025-11-13,1476.55
WH-B,Printer,Supplier-Z,699.0,429,2025-12-20,2859.06
WH-A,Monitor,Supplier-V,295.0,271,2025-12-13,1473.42
WH-C,Keyboard,Supplier-Z,403.0,379,2025-05-21,2336.7
WH-A,Mobile,Supplier-V,324.0,7,2024-07-15,4232.82
WH-D,Mobile,Supplier-Y,755.0,437,2025-12-23,2614.28
WH-A,Laptop,Supplier-Y,326.0,500,2024-08-21,1924.49
WH-B,Mobile,Supplier-V,339.0,174,2024-09-06,3377.04
WH-C,Tablet,Supplier-X,59.0,35,2026-02-08,2716.28
WH-C,Router,Supplier-X,677.0,469,2026-05-24,2881.93
WH-C,Mouse,Supplier-Y,683.0,88,2026-04-20,4822.71
WH-E,Printer,Supplier-X,826.0,308,2026-01-08,1865.14
WH-D,Printer,Supplier-Z,750.0,416,2026-01-04,1176.39
WH-D,Tablet,Supplier-Y,248.0,214,2025-11-20,3907.91
WH-B,Mobile,Supplier-Y,288.0,316,2025-02-21,3912.78
WH-E,Tablet,Supplier-X,653.0,147,2026-04-26,3441.56
WH-B,Tablet,Supplier-X,590.0,110,2025-07-14,4992.22
WH-A,Mouse,Supplier-V,609.0,379,2025-06-20,1214.4
WH-A,Keyboard,Supplier-Y,975.0,410,2025-09-21,1576.99
WH-E,Mouse,Supplier-V,946.0,396,2025-03-18,2394.75
WH-E,Router,Supplier-Z,197.0,281,2026-06-17,4024.57
WH-E,Router,Supplier-Y,11.0,353,2025-06-03,3331.78
WH-E,Laptop,Supplier-Y,616.0,54,2025-10-14,1765.47
WH-C,Tablet,Supplier-V,0.0,427,2024-08-11,568.23
WH-B,Monitor,Supplier-Z,115.0,391,2024-10-30,2017.76
WH-C,Router,Supplier-Y,249.0,343,2025-09-11,5053.63
WH-B,Laptop,Supplier-Y,796.0,413,2026-05-08,2014.33
WH-A,Mobile,Supplier-W,212.0,305,2025-09-07,817.66
WH-E,Tablet,Supplier-Z,280.0,309,2025-08-24,4749.24
WH-D,Tablet,Supplier-W,10.0,382,2025-07-31,4180.73
WH-E,Mobile,Supplier-Z,372.0,21,2025-04-04,749.81
WH-C,Laptop,Supplier-V,454.0,406,2024-08-30,936.52
WH-A,Printer,Supplier-Y,918.0,168,2024-08-09,5223.89
WH-B,Router,Supplier-Y,615.0,460,2025-04-19,4624.49
WH-A,Keyboard,Supplier-W,987.0,95,2026-02-25,1228.95
WH-C,Router,Supplier-Y,772.0,205,2024-08-14,3676.2
WH-A,Keyboard,Supplier-X,553.0,97,2025-06-10,2582.41
WH-A,Printer,Supplier-W,34.0,472,2024-10-13,539.25
WH-A,Laptop,Supplier-W,734.0,467,2025-02-16,4309.24
WH-C,Mobile,Supplier-Y,308.0,321,2025-02-06,5015.01
WH-D,Monitor,Supplier-V,625.0,32,2024-12-12,3264.51
WH-D,Router,,,407,2024-09-27,
WH-C,Laptop,Supplier-V,539.0,410,2026-06-03,4102.79
WH-C,Laptop,Supplier-W,491.0,320,2026-05-27,5088.66
WH-D,Router,Supplier-Z,371.0,47,2026-02-19,5127.13
WH-B,Laptop,Supplier-Y,662.0,340,2024-09-15,1511.78
WH-A,Keyboard,Supplier-W,189.0,188,2025-09-11,2027.19
WH-C,Mouse,Supplier-Z,974.0,422,2024-11-07,1222.25
WH-B,Laptop,Supplier-V,225.0,335,2025-07-27,795.72
WH-B,Monitor,Supplier-X,346.0,12,2025-07-28,2292.25
WH-B,Keyboard,Supplier-W,557.0,127,2026-05-22,3382.48
WH-D,Printer,Supplier-W,856.0,77,2024-08-01,4238.87
WH-C,Keyboard,Supplier-W,278.0,382,2025-10-14,3267.69
WH-A,Mobile,Supplier-V,705.0,21,2025-10-15,3457.89
WH-D,Keyboard,Supplier-X,242.0,270,2025-10-25,4774.03
WH-E,Router,Supplier-W,782.0,283,2024-10-25,1929.52
WH-B,Mobile,Supplier-X,668.0,177,2025-04-20,930.45
WH-C,Monitor,Supplier-X,128.0,288,2024-12-25,2722.12
WH-C,Laptop,Supplier-V,299.0,66,2024-12-16,743.16
WH-B,Mouse,Supplier-W,619.0,34,2025-11-30,3874.68
WH-E,Mouse,Supplier-Z,992.0,253,2025-07-13,2432.08
WH-D,Keyboard,Supplier-V,204.0,78,2025-12-11,4961.46
WH-E,Mouse,Supplier-Y,173.0,381,2025-06-13,4258.48
WH-B,Keyboard,Supplier-Z,358.0,485,2024-07-11,4634.64
WH-D,Mobile,Supplier-X,454.0,288,2025-04-14,2150.05
WH-E,Printer,Supplier-X,786.0,126,2026-04-10,933.81
WH-B,Keyboard,Supplier-Z,286.0,483,2025-12-07,3231.83
WH-B,Tablet,Supplier-W,747.0,107,2025-10-11,2006.7
WH-C,Router,Supplier-W,899.0,371,2025-07-26,1395.84
WH-E,Mobile,Supplier-X,516.0,262,2025-10-31,2476.08
